candidato,ubicacion,votos_actuales,votos_proyectados,actas_contabilizadas,participacion
PARTIDO POLÍTICO COOPERACIÓN POPULAR,110000,7943,6950,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,110000,13410,11735,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,110000,15541,13599,93.662,58.366
PARTIDO APRISTA PERUANO,110000,3100,2712,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,110000,5269,4610,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,110000,7256,6349,93.662,58.366
UN CAMINO DIFERENTE,110000,1418,1240,93.662,58.366
PARTIDO DEMÓCRATA VERDE,110000,3056,2674,93.662,58.366
PARTIDO MORADO,110000,3392,2968,93.662,58.366
UNIDAD NACIONAL,110000,1658,1450,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,110000,2214,1937,93.662,58.366
PROGRESEMOS,110000,2924,2558,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,110000,1604,1403,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,110000,925,809,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,110000,793,693,93.662,58.366
FUERZA Y LIBERTAD,110000,4562,3992,93.662,58.366
SALVEMOS AL PERÚ,110000,1009,882,93.662,58.366
FE EN EL PERÚ,110000,1073,938,93.662,58.366
LIBERTAD POPULAR,110000,1237,1082,93.662,58.366
PARTIDO POLÍTICO PRIN,110000,412,360,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,110000,732,640,93.662,58.366
PERÚ MODERNO,110000,332,290,93.662,58.366
JUNTOS POR EL PERÚ,120000,81396,71229,93.662,58.366
FUERZA POPULAR,120000,175447,153533,93.662,58.366
PARTIDO CÍVICO OBRAS,120000,61343,53681,93.662,58.366
AHORA NACIÓN - AN,120000,35479,31047,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,120000,85330,74672,93.662,58.366
RENOVACIÓN POPULAR,120000,71258,62357,93.662,58.366
PARTIDO PAÍS PARA TODOS,120000,69205,60561,93.662,58.366
ALIANZA PARA EL PROGRESO,120000,30078,26321,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,120000,5068,4434,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",120000,27922,24434,93.662,58.366
PODEMOS PERÚ,120000,19337,16921,93.662,58.366
PARTIDO SICREO,120000,32358,28316,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,120000,4432,3878,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,120000,7677,6718,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,120000,2881,2521,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,120000,4427,3874,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,120000,13205,11555,93.662,58.366
PARTIDO APRISTA PERUANO,120000,25651,22447,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,120000,6426,5623,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,120000,3822,3344,93.662,58.366
UN CAMINO DIFERENTE,120000,77332,67673,93.662,58.366
PARTIDO DEMÓCRATA VERDE,120000,2757,2412,93.662,58.366
PARTIDO MORADO,120000,3635,3180,93.662,58.366
UNIDAD NACIONAL,120000,2459,2151,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,120000,3406,2980,93.662,58.366
PROGRESEMOS,120000,2347,2053,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,120000,1658,1450,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,120000,2132,1865,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,120000,973,851,93.662,58.366
FUERZA Y LIBERTAD,120000,1166,1020,93.662,58.366
SALVEMOS AL PERÚ,120000,652,570,93.662,58.366
FE EN EL PERÚ,120000,1211,1059,93.662,58.366
LIBERTAD POPULAR,120000,1724,1508,93.662,58.366
PARTIDO POLÍTICO PRIN,120000,918,803,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,120000,481,420,93.662,58.366
PERÚ MODERNO,120000,351,307,93.662,58.366
JUNTOS POR EL PERÚ,130000,67875,59397,93.662,58.366
FUERZA POPULAR,130000,168476,147433,93.662,58.366
PARTIDO CÍVICO OBRAS,130000,47866,41887,93.662,58.366
AHORA NACIÓN - AN,130000,28535,24970,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,130000,66035,57787,93.662,58.366
RENOVACIÓN POPULAR,130000,54760,47920,93.662,58.366
PARTIDO PAÍS PARA TODOS,130000,59224,51826,93.662,58.366
ALIANZA PARA EL PROGRESO,130000,13888,12153,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,130000,6465,5657,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",130000,19918,17430,93.662,58.366
PODEMOS PERÚ,130000,9118,7979,93.662,58.366
PARTIDO SICREO,130000,19373,16953,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,130000,3226,2823,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,130000,6407,5606,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,130000,3688,3227,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,130000,2992,2618,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,130000,9803,8578,93.662,58.366
PARTIDO APRISTA PERUANO,130000,14753,12910,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,130000,8895,7783,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,130000,1881,1646,93.662,58.366
UN CAMINO DIFERENTE,130000,3325,2909,93.662,58.366
PARTIDO DEMÓCRATA VERDE,130000,2079,1819,93.662,58.366
PARTIDO MORADO,130000,3799,3324,93.662,58.366
UNIDAD NACIONAL,130000,3008,2632,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,130000,2965,2594,93.662,58.366
PROGRESEMOS,130000,1460,1277,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,130000,1076,941,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,130000,1585,1387,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,130000,906,792,93.662,58.366
FUERZA Y LIBERTAD,130000,721,630,93.662,58.366
SALVEMOS AL PERÚ,130000,606,530,93.662,58.366
FE EN EL PERÚ,130000,771,674,93.662,58.366
LIBERTAD POPULAR,130000,1153,1008,93.662,58.366
PARTIDO POLÍTICO PRIN,130000,343,300,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,130000,385,336,93.662,58.366
PERÚ MODERNO,130000,459,401,93.662,58.366
JUNTOS POR EL PERÚ,140000,189602,142893,83.333,17.884
FUERZA POPULAR,140000,1037583,781976,83.333,17.884
PARTIDO CÍVICO OBRAS,140000,529536,399085,83.333,17.884
AHORA NACIÓN - AN,140000,396442,298779,83.333,17.884
PARTIDO DEL BUEN GOBIERNO,140000,877634,661430,83.333,17.884
RENOVACIÓN POPULAR,140000,1157356,872243,83.333,17.884
PARTIDO PAÍS PARA TODOS,140000,517493,390009,83.333,17.884
ALIANZA PARA EL PROGRESO,140000,29905,22537,83.333,17.884
PARTIDO DEMOCRÁTICO SOMOS PERÚ,140000,42279,31863,83.333,17.884
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",140000,247270,186355,83.333,17.884
PODEMOS PERÚ,140000,56185,42343,83.333,17.884
PARTIDO SICREO,140000,228099,171907,83.333,17.884
ALIANZA ELECTORAL VENCEREMOS,140000,22356,16848,83.333,17.884
PARTIDO PATRIÓTICO DEL PERÚ,140000,36837,27762,83.333,17.884
PARTIDO POLÍTICO COOPERACIÓN POPULAR,140000,30512,22995,83.333,17.884
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,140000,16792,12655,83.333,17.884
PARTIDO FRENTE DE LA ESPERANZA 2021,140000,81701,61574,83.333,17.884
PARTIDO APRISTA PERUANO,140000,48002,36176,83.333,17.884
PARTIDO POLÍTICO PERÚ PRIMERO,140000,28579,21538,83.333,17.884
PARTIDO DEMÓCRATA UNIDO PERÚ,140000,27746,20910,83.333,17.884
UN CAMINO DIFERENTE,140000,10842,8171,83.333,17.884
PARTIDO DEMÓCRATA VERDE,140000,15710,11839,83.333,17.884
PARTIDO MORADO,140000,30905,23291,83.333,17.884
UNIDAD NACIONAL,140000,32331,24366,83.333,17.884
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,140000,26910,20280,83.333,17.884
PROGRESEMOS,140000,20505,15453,83.333,17.884
PARTIDO POLÍTICO PERÚ ACCIÓN,140000,8504,6409,83.333,17.884
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,140000,10998,8288,83.333,17.884
PARTIDO DEMOCRATICO FEDERAL,140000,6087,4587,83.333,17.884
FUERZA Y LIBERTAD,140000,7126,5370,83.333,17.884
SALVEMOS AL PERÚ,140000,3045,2294,83.333,17.884
FE EN EL PERÚ,140000,5916,4458,83.333,17.884
LIBERTAD POPULAR,140000,14253,10741,83.333,17.884
PARTIDO POLÍTICO PRIN,140000,4039,3044,83.333,17.884
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,140000,3278,2470,83.333,17.884
PERÚ MODERNO,140000,3024,2279,83.333,17.884
JUNTOS POR EL PERÚ,150000,28802,25204,93.662,58.366
FUERZA POPULAR,150000,81753,71541,93.662,58.366
PARTIDO CÍVICO OBRAS,150000,12224,10697,93.662,58.366
AHORA NACIÓN - AN,150000,12544,10977,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,150000,10607,9282,93.662,58.366
RENOVACIÓN POPULAR,150000,19645,17191,93.662,58.366
PARTIDO PAÍS PARA TODOS,150000,34539,30225,93.662,58.366
ALIANZA PARA EL PROGRESO,150000,20358,17815,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,150000,19947,17455,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",150000,5247,4591,93.662,58.366
PODEMOS PERÚ,150000,7485,6550,93.662,58.366
PARTIDO SICREO,150000,4691,4105,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,150000,1802,1576,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,150000,1739,1521,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,150000,1995,1745,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,150000,2299,2011,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,150000,2484,2173,93.662,58.366
PARTIDO APRISTA PERUANO,150000,2326,2035,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,150000,7568,6622,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,150000,1081,945,93.662,58.366
UN CAMINO DIFERENTE,150000,431,377,93.662,58.366
PARTIDO DEMÓCRATA VERDE,150000,1688,1477,93.662,58.366
PARTIDO MORADO,150000,1244,1088,93.662,58.366
UNIDAD NACIONAL,150000,915,800,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,150000,651,569,93.662,58.366
PROGRESEMOS,150000,1108,969,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,150000,545,476,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,150000,494,432,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,150000,345,301,93.662,58.366
FUERZA Y LIBERTAD,150000,782,684,93.662,58.366
SALVEMOS AL PERÚ,150000,629,550,93.662,58.366
FE EN EL PERÚ,150000,608,532,93.662,58.366
LIBERTAD POPULAR,150000,834,729,93.662,58.366
PARTIDO POLÍTICO PRIN,150000,186,162,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,150000,267,233,93.662,58.366
PERÚ MODERNO,150000,724,633,93.662,58.366
JUNTOS POR EL PERÚ,160000,16809,14709,93.662,58.366
FUERZA POPULAR,160000,9831,8603,93.662,58.366
PARTIDO CÍVICO OBRAS,160000,10576,9255,93.662,58.366
AHORA NACIÓN - AN,160000,5889,5153,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,160000,3774,3302,93.662,58.366
RENOVACIÓN POPULAR,160000,2459,2151,93.662,58.366
PARTIDO PAÍS PARA TODOS,160000,4554,3985,93.662,58.366
ALIANZA PARA EL PROGRESO,160000,1035,905,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,160000,685,599,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",160000,1648,1442,93.662,58.366
PODEMOS PERÚ,160000,1239,1084,93.662,58.366
PARTIDO SICREO,160000,2350,2056,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,160000,709,620,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,160000,981,858,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,160000,1572,1375,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,160000,878,768,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,160000,2341,2048,93.662,58.366
PARTIDO APRISTA PERUANO,160000,497,434,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,160000,702,614,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,160000,849,742,93.662,58.366
UN CAMINO DIFERENTE,160000,156,136,93.662,58.366
PARTIDO DEMÓCRATA VERDE,160000,359,314,93.662,58.366
PARTIDO MORADO,160000,197,172,93.662,58.366
UNIDAD NACIONAL,160000,278,243,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,160000,168,147,93.662,58.366
PROGRESEMOS,160000,675,590,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,160000,167,146,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,160000,300,262,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,160000,111,97,93.662,58.366
FUERZA Y LIBERTAD,160000,120,105,93.662,58.366
SALVEMOS AL PERÚ,160000,99,86,93.662,58.366
FE EN EL PERÚ,160000,88,77,93.662,58.366
LIBERTAD POPULAR,160000,116,101,93.662,58.366
PARTIDO POLÍTICO PRIN,160000,37,32,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,160000,47,41,93.662,58.366
PERÚ MODERNO,160000,77,67,93.662,58.366
JUNTOS POR EL PERÚ,170000,13912,12174,93.662,58.366
FUERZA POPULAR,170000,7154,6260,93.662,58.366
PARTIDO CÍVICO OBRAS,170000,13211,11560,93.662,58.366
AHORA NACIÓN - AN,170000,11452,10021,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,170000,11316,9902,93.662,58.366
RENOVACIÓN POPULAR,170000,6313,5524,93.662,58.366
PARTIDO PAÍS PARA TODOS,170000,5854,5122,93.662,58.366
ALIANZA PARA EL PROGRESO,170000,579,506,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,170000,686,600,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",170000,5547,4854,93.662,58.366
PODEMOS PERÚ,170000,1772,1550,93.662,58.366
PARTIDO SICREO,170000,4631,4052,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,170000,1514,1324,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,170000,1047,916,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,170000,5045,4414,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,170000,934,817,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,170000,4672,4088,93.662,58.366
PARTIDO APRISTA PERUANO,170000,545,476,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,170000,6804,5954,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,170000,1261,1103,93.662,58.366
UN CAMINO DIFERENTE,170000,317,277,93.662,58.366
PARTIDO DEMÓCRATA VERDE,170000,393,343,93.662,58.366
PARTIDO MORADO,170000,570,498,93.662,58.366
UNIDAD NACIONAL,170000,372,325,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,170000,301,263,93.662,58.366
PROGRESEMOS,170000,958,838,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,170000,210,183,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,170000,120,105,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,170000,197,172,93.662,58.366
FUERZA Y LIBERTAD,170000,159,139,93.662,58.366
SALVEMOS AL PERÚ,170000,110,96,93.662,58.366
FE EN EL PERÚ,170000,102,89,93.662,58.366
LIBERTAD POPULAR,170000,170,148,93.662,58.366
PARTIDO POLÍTICO PRIN,170000,132,115,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,170000,86,75,93.662,58.366
PERÚ MODERNO,170000,110,96,93.662,58.366
JUNTOS POR EL PERÚ,180000,20282,17748,93.662,58.366
FUERZA POPULAR,180000,20211,17686,93.662,58.366
PARTIDO CÍVICO OBRAS,180000,12999,11375,93.662,58.366
AHORA NACIÓN - AN,180000,9689,8478,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,180000,4836,4231,93.662,58.366
RENOVACIÓN POPULAR,180000,7038,6158,93.662,58.366
PARTIDO PAÍS PARA TODOS,180000,4423,3870,93.662,58.366
ALIANZA PARA EL PROGRESO,180000,1558,1363,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,180000,1731,1514,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",180000,1960,1715,93.662,58.366
PODEMOS PERÚ,180000,4970,4349,93.662,58.366
PARTIDO SICREO,180000,3032,2653,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,180000,631,552,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,180000,1332,1165,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,180000,2154,1884,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,180000,930,813,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,180000,4664,4081,93.662,58.366
PARTIDO APRISTA PERUANO,180000,449,392,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,180000,1031,902,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,180000,878,768,93.662,58.366
UN CAMINO DIFERENTE,180000,204,178,93.662,58.366
PARTIDO DEMÓCRATA VERDE,180000,565,494,93.662,58.366
PARTIDO MORADO,180000,471,412,93.662,58.366
UNIDAD NACIONAL,180000,171,149,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,180000,330,288,93.662,58.366
PROGRESEMOS,180000,288,252,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,180000,269,235,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,180000,113,98,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,180000,166,145,93.662,58.366
FUERZA Y LIBERTAD,180000,181,158,93.662,58.366
SALVEMOS AL PERÚ,180000,104,91,93.662,58.366
FE EN EL PERÚ,180000,176,154,93.662,58.366
LIBERTAD POPULAR,180000,206,180,93.662,58.366
PARTIDO POLÍTICO PRIN,180000,90,78,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,180000,86,75,93.662,58.366
PERÚ MODERNO,180000,35,30,93.662,58.366
JUNTOS POR EL PERÚ,190000,91995,80504,93.662,58.366
FUERZA POPULAR,190000,226718,198400,93.662,58.366
PARTIDO CÍVICO OBRAS,190000,60622,53050,93.662,58.366
AHORA NACIÓN - AN,190000,37791,33070,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,190000,71179,62288,93.662,58.366
RENOVACIÓN POPULAR,190000,54199,47429,93.662,58.366
PARTIDO PAÍS PARA TODOS,190000,86583,75768,93.662,58.366
ALIANZA PARA EL PROGRESO,190000,14268,12485,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,190000,6134,5367,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",190000,26901,23541,93.662,58.366
PODEMOS PERÚ,190000,18437,16134,93.662,58.366
PARTIDO SICREO,190000,22192,19420,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,190000,6807,5956,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,190000,8945,7827,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,190000,4360,3815,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,190000,3823,3345,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,190000,10315,9026,93.662,58.366
PARTIDO APRISTA PERUANO,190000,10269,8986,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,190000,15329,13414,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,190000,3938,3446,93.662,58.366
UN CAMINO DIFERENTE,190000,4171,3650,93.662,58.366
PARTIDO DEMÓCRATA VERDE,190000,3056,2674,93.662,58.366
PARTIDO MORADO,190000,2455,2148,93.662,58.366
UNIDAD NACIONAL,190000,2469,2160,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,190000,3469,3035,93.662,58.366
PROGRESEMOS,190000,3087,2701,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,190000,1749,1530,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,190000,1186,1037,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,190000,1214,1062,93.662,58.366
FUERZA Y LIBERTAD,190000,1277,1117,93.662,58.366
SALVEMOS AL PERÚ,190000,1179,1031,93.662,58.366
FE EN EL PERÚ,190000,1015,888,93.662,58.366
LIBERTAD POPULAR,190000,1701,1488,93.662,58.366
PARTIDO POLÍTICO PRIN,190000,860,752,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,190000,507,443,93.662,58.366
PERÚ MODERNO,190000,338,295,93.662,58.366
JUNTOS POR EL PERÚ,200000,156760,137180,93.662,58.366
FUERZA POPULAR,200000,24663,21582,93.662,58.366
PARTIDO CÍVICO OBRAS,200000,111864,97891,93.662,58.366
AHORA NACIÓN - AN,200000,71888,62909,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,200000,26304,23018,93.662,58.366
RENOVACIÓN POPULAR,200000,12133,10617,93.662,58.366
PARTIDO PAÍS PARA TODOS,200000,10320,9031,93.662,58.366
ALIANZA PARA EL PROGRESO,200000,3537,3095,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,200000,2218,1940,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",200000,9580,8383,93.662,58.366
PODEMOS PERÚ,200000,5915,5176,93.662,58.366
PARTIDO SICREO,200000,19716,17253,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,200000,33161,29019,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,200000,5690,4979,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,200000,70077,61324,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,200000,5212,4561,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,200000,28659,25079,93.662,58.366
PARTIDO APRISTA PERUANO,200000,1247,1091,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,200000,4105,3592,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,200000,10550,9232,93.662,58.366
UN CAMINO DIFERENTE,200000,788,689,93.662,58.366
PARTIDO DEMÓCRATA VERDE,200000,3368,2947,93.662,58.366
PARTIDO MORADO,200000,2005,1754,93.662,58.366
UNIDAD NACIONAL,200000,869,760,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,200000,713,623,93.662,58.366
PROGRESEMOS,200000,2944,2576,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,200000,1164,1018,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,200000,528,462,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,200000,974,852,93.662,58.366
FUERZA Y LIBERTAD,200000,745,651,93.662,58.366
SALVEMOS AL PERÚ,200000,726,635,93.662,58.366
FE EN EL PERÚ,200000,992,868,93.662,58.366
LIBERTAD POPULAR,200000,782,684,93.662,58.366
PARTIDO POLÍTICO PRIN,200000,657,574,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,200000,496,434,93.662,58.366
PERÚ MODERNO,200000,255,223,93.662,58.366
JUNTOS POR EL PERÚ,210000,86916,76060,93.662,58.366
FUERZA POPULAR,210000,85003,74385,93.662,58.366
PARTIDO CÍVICO OBRAS,210000,41614,36416,93.662,58.366
AHORA NACIÓN - AN,210000,16168,14148,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,210000,16402,14353,93.662,58.366
RENOVACIÓN POPULAR,210000,21517,18829,93.662,58.366
PARTIDO PAÍS PARA TODOS,210000,18566,16247,93.662,58.366
ALIANZA PARA EL PROGRESO,210000,7912,6923,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,210000,4091,3580,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",210000,6106,5343,93.662,58.366
PODEMOS PERÚ,210000,7778,6806,93.662,58.366
PARTIDO SICREO,210000,7393,6469,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,210000,3161,2766,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,210000,4207,3681,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,210000,2361,2066,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,210000,2920,2555,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,210000,3635,3180,93.662,58.366
PARTIDO APRISTA PERUANO,210000,3931,3440,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,210000,3969,3473,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,210000,3348,2929,93.662,58.366
UN CAMINO DIFERENTE,210000,1333,1166,93.662,58.366
PARTIDO DEMÓCRATA VERDE,210000,1959,1714,93.662,58.366
PARTIDO MORADO,210000,1782,1559,93.662,58.366
UNIDAD NACIONAL,210000,1933,1691,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,210000,1183,1035,93.662,58.366
PROGRESEMOS,210000,1005,879,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,210000,975,853,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,210000,3973,3476,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,210000,636,556,93.662,58.366
FUERZA Y LIBERTAD,210000,588,514,93.662,58.366
