candidato,ubicacion,votos_actuales,votos_proyectados,actas_contabilizadas,participacion
AHORA NACIÓN - AN,030000,20973,18353,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,030000,7104,6216,93.662,58.366
RENOVACIÓN POPULAR,030000,6122,5357,93.662,58.366
PARTIDO PAÍS PARA TODOS,030000,2828,2474,93.662,58.366
ALIANZA PARA EL PROGRESO,030000,892,780,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,030000,439,384,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",030000,2177,1905,93.662,58.366
PODEMOS PERÚ,030000,3009,2633,93.662,58.366
PARTIDO SICREO,030000,3292,2880,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,030000,1947,1703,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,030000,1995,1745,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,030000,1356,1186,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,030000,1817,1590,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,030000,2477,2167,93.662,58.366
PARTIDO APRISTA PERUANO,030000,642,561,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,030000,951,832,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,030000,8406,7356,93.662,58.366
UN CAMINO DIFERENTE,030000,222,194,93.662,58.366
PARTIDO DEMÓCRATA VERDE,030000,913,798,93.662,58.366
PARTIDO MORADO,030000,632,553,93.662,58.366
UNIDAD NACIONAL,030000,175,153,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,030000,302,264,93.662,58.366
PROGRESEMOS,030000,1831,1602,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,030000,412,360,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,030000,148,129,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,030000,309,270,93.662,58.366
FUERZA Y LIBERTAD,030000,232,203,93.662,58.366
SALVEMOS AL PERÚ,030000,573,501,93.662,58.366
FE EN EL PERÚ,030000,356,311,93.662,58.366
LIBERTAD POPULAR,030000,931,814,93.662,58.366
PARTIDO POLÍTICO PRIN,030000,175,153,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,030000,107,93,93.662,58.366
PERÚ MODERNO,030000,46,40,93.662,58.366
JUNTOS POR EL PERÚ,040000,86652,75828,93.662,58.366
FUERZA POPULAR,040000,63119,55235,93.662,58.366
PARTIDO CÍVICO OBRAS,040000,93880,82154,93.662,58.366
AHORA NACIÓN - AN,040000,80315,70283,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,040000,160940,140838,93.662,58.366
RENOVACIÓN POPULAR,040000,91679,80228,93.662,58.366
PARTIDO PAÍS PARA TODOS,040000,71798,62830,93.662,58.366
ALIANZA PARA EL PROGRESO,040000,3623,3170,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,040000,3552,3108,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",040000,39503,34568,93.662,58.366
PODEMOS PERÚ,040000,8466,7408,93.662,58.366
PARTIDO SICREO,040000,39974,34981,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,040000,8358,7314,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,040000,7625,6672,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,040000,19813,17338,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,040000,5128,4487,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,040000,28156,24639,93.662,58.366
PARTIDO APRISTA PERUANO,040000,4842,4237,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,040000,7032,6153,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,040000,7794,6820,93.662,58.366
UN CAMINO DIFERENTE,040000,1742,1524,93.662,58.366
PARTIDO DEMÓCRATA VERDE,040000,2894,2532,93.662,58.366
PARTIDO MORADO,040000,5061,4428,93.662,58.366
UNIDAD NACIONAL,040000,2699,2361,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,040000,3126,2735,93.662,58.366
PROGRESEMOS,040000,3423,2995,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,040000,1693,1481,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,040000,949,830,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,040000,1613,1411,93.662,58.366
FUERZA Y LIBERTAD,040000,1458,1275,93.662,58.366
SALVEMOS AL PERÚ,040000,830,726,93.662,58.366
FE EN EL PERÚ,040000,1145,1001,93.662,58.366
LIBERTAD POPULAR,040000,1585,1387,93.662,58.366
PARTIDO POLÍTICO PRIN,040000,570,498,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,040000,631,552,93.662,58.366
PERÚ MODERNO,040000,639,559,93.662,58.366
JUNTOS POR EL PERÚ,050000,84615,74046,93.662,58.366
FUERZA POPULAR,050000,21895,19160,93.662,58.366
PARTIDO CÍVICO OBRAS,050000,39154,34263,93.662,58.366
AHORA NACIÓN - AN,050000,39221,34322,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,050000,15011,13136,93.662,58.366
RENOVACIÓN POPULAR,050000,7406,6480,93.662,58.366
PARTIDO PAÍS PARA TODOS,050000,6247,5466,93.662,58.366
ALIANZA PARA EL PROGRESO,050000,1935,1693,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,050000,1503,1315,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",050000,4971,4350,93.662,58.366
PODEMOS PERÚ,050000,6383,5585,93.662,58.366
PARTIDO SICREO,050000,5567,4871,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,050000,3533,3091,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,050000,2761,2416,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,050000,3226,2823,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,050000,3206,2805,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,050000,6081,5321,93.662,58.366
PARTIDO APRISTA PERUANO,050000,956,836,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,050000,2508,2194,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,050000,4519,3954,93.662,58.366
UN CAMINO DIFERENTE,050000,457,399,93.662,58.366
PARTIDO DEMÓCRATA VERDE,050000,1555,1360,93.662,58.366
PARTIDO MORADO,050000,838,733,93.662,58.366
UNIDAD NACIONAL,050000,364,318,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,050000,488,427,93.662,58.366
PROGRESEMOS,050000,1131,989,93.662,58.366
PARTIDO POLÍTICO PERÚ ACCIÓN,050000,582,509,93.662,58.366
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,050000,178,155,93.662,58.366
PARTIDO DEMOCRATICO FEDERAL,050000,435,380,93.662,58.366
FUERZA Y LIBERTAD,050000,405,354,93.662,58.366
SALVEMOS AL PERÚ,050000,563,492,93.662,58.366
FE EN EL PERÚ,050000,514,449,93.662,58.366
LIBERTAD POPULAR,050000,1657,1450,93.662,58.366
PARTIDO POLÍTICO PRIN,050000,157,137,93.662,58.366
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,050000,219,191,93.662,58.366
PERÚ MODERNO,050000,168,147,93.662,58.366
JUNTOS POR EL PERÚ,060000,254121,222380,93.662,58.366
FUERZA POPULAR,060000,84233,73712,93.662,58.366
PARTIDO CÍVICO OBRAS,060000,67073,58695,93.662,58.366
AHORA NACIÓN - AN,060000,27523,24085,93.662,58.366
PARTIDO DEL BUEN GOBIERNO,060000,28088,24579,93.662,58.366
RENOVACIÓN POPULAR,060000,19744,17277,93.662,58.366
PARTIDO PAÍS PARA TODOS,060000,19214,16814,93.662,58.366
ALIANZA PARA EL PROGRESO,060000,9806,8581,93.662,58.366
PARTIDO DEMOCRÁTICO SOMOS PERÚ,060000,6675,5841,93.662,58.366
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",060000,10610,9284,93.662,58.366
PODEMOS PERÚ,060000,13281,11622,93.662,58.366
PARTIDO SICREO,060000,10906,9543,93.662,58.366
ALIANZA ELECTORAL VENCEREMOS,060000,3836,3356,93.662,58.366
PARTIDO PATRIÓTICO DEL PERÚ,060000,5036,4406,93.662,58.366
PARTIDO POLÍTICO COOPERACIÓN POPULAR,060000,2967,2596,93.662,58.366
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,060000,5196,4547,93.662,58.366
PARTIDO FRENTE DE LA ESPERANZA 2021,060000,6071,5312,93.662,58.366
PARTIDO APRISTA PERUANO,060000,3839,3359,93.662,58.366
PARTIDO POLÍTICO PERÚ PRIMERO,060000,5749,5030,93.662,58.366
PARTIDO DEMÓCRATA UNIDO PERÚ,060000,2384,2086,93.662,58.366
UN CAMINO DIFERENTE,060000,2983,2610,93.662,58.366
PARTIDO DEMÓCRATA VERDE,060000,2452,2145,93.662,58.366
PARTIDO MORADO,060000,4294,3757,93.662,58.366
UNIDAD NACIONAL,060000,1513,1324,93.662,58.366
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,060000,1385,1212,93.662,58.366
PROGRESEMOS,060000,1244,1088,93.662,58.366
